capacity_multiplier,w_gossip,w_rel,program_variant,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,42,2,0.4166666666666667,-0.000634431942307856,0.875,0.028870884773662554,172,1600
0.7,0.0,1.0,42,3,0.4826388888888889,-0.00022597957497055176,0.8,0.057195216049382706,167,1600
0.7,0.0,1.0,42,4,0.44097222222222227,0.00012831873820687178,0.95,0.031732253086419755,149,1600
0.7,0.0,1.0,42,5,0.4826388888888889,-0.004567328666962567,0.875,0.038548096707818925,143,1600
0.7,0.0,1.0,43,1,0.40277777777777773,-0.0005929654362262227,0.875,0.033725565843621394,183,1600
0.7,0.0,1.0,43,2,0.4131944444444445,-0.0011230571413761935,0.9,0.028002829218106994,172,1600
0.7,0.0,1.0,43,3,0.4826388888888889,0.0007712783518218203,0.775,0.05787037037037036,167,1600
0.7,0.0,1.0,43,4,0.4479166666666667,-0.0002504253104416421,0.9,0.035976080246913573,149,1600
0.7,0.0,1.0,43,5,0.4791666666666667,-0.004532208879172685,0.875,0.03806584362139918,143,1600
0.7,0.0,1.0,44,1,0.40972222222222215,0.00047382142503920476,0.875,0.034786522633744855,183,1600
0.7,0.0,1.0,44,2,0.4166666666666667,-0.0008431832175847376,0.875,0.029063786008230452,172,1600
0.7,0.0,1.0,44,3,0.4895833333333333,8.344168920302763e-05,0.8,0.057002314814814804,167,1600
0.7,0.0,1.0,44,4,0.4444444444444444,-6.424216058803722e-05,0.925,0.03674768518518518,149,1600
0.7,0.0,1.0,44,5,0.4826388888888889,-0.0025689272741146853,0.875,0.038548096707818925,143,1600
0.7,0.0,1.0,45,1,0.4131944444444444,-0.0005320773323182948,0.875,0.03575102880658435,183,1600
0.7,0.0,1.0,45,2,0.4131944444444445,-0.0002444976384867914,0.9,0.027809927983539096,172,1600
0.7,0.0,1.0,45,3,0.4930555555555556,0.00039294701527978757,0.775,0.05989583333333332,167,1600
0.7,0.0,1.0,45,4,0.4444444444444444,-0.0003755128166085342,0.925,0.03356481481481481,149,1600
0.7,0.0,1.0,45,5,0.4791666666666667,-0.004537739559673355,0.875,0.03874099794238683,143,1600
0.7,0.0,1.0,46,1,0.4131944444444444,-0.00043372121144784613,0.875,0.034979423868312744,183,1600
0.7,0.0,1.0,46,2,0.4131944444444445,-0.0006511591983144172,0.9,0.028002829218106994,172,1600
0.7,0.0,1.0,46,3,0.4930555555555556,0.0011739574243983953,0.775,0.059606481481481476,167,1600
0.7,0.0,1.0,46,4,0.4444444444444444,-0.0008872868249454769,0.925,0.03472222222222222,149,1600
0.7,0.0,1.0,46,5,0.4756944444444445,-0.004500282160370262,0.875,0.03719778806584362,143,1600
0.7,0.0,1.0,47,1,0.3993055555555555,-0.0010135919207823463,0.875,0.03276105967078189,183,1600
0.7,0.0,1.0,47,2,0.42013888888888884,-0.001189952083514072,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,47,3,0.4895833333333333,-0.00020727426039229613,0.8,0.05729166666666666,167,1600
0.7,0.0,1.0,47,4,0.4375,-0.0003476160715217702,0.9,0.034529320987654315,149,1600
0.7,0.0,1.0,47,5,0.4826388888888889,-0.0034382205599104054,0.875,0.03835519547325102,143,1600
0.7,0.0,1.0,48,1,0.3993055555555555,-0.0010565420659258962,0.9,0.032182355967078184,183,1600
0.7,0.0,1.0,48,2,0.42361111111111116,-0.0008129592821933329,0.9,0.028774434156378603,172,1600
0.7,0.0,1.0,48,3,0.4895833333333333,0.0010531191286281682,0.8,0.05729166666666666,167,1600
0.7,0.0,1.0,48,4,0.4444444444444444,0.0002945422058837721,0.9,0.037133487654320986,149,1600
0.7,0.0,1.0,48,5,0.4756944444444445,-0.003982747773916344,0.875,0.03555812757201646,143,1600
0.7,0.0,1.0,49,1,0.40624999999999994,-0.0009551144746365026,0.875,0.03353266460905349,183,1600
0.7,0.0,1.0,49,2,0.4166666666666667,-1.16405839798972e-05,0.925,0.028002829218106998,172,1600
0.7,0.0,1.0,49,3,0.4895833333333333,0.00027670111754559914,0.8,0.05709876543209876,167,1600
0.7,0.0,1.0,49,4,0.44097222222222227,0.0005188479148637271,0.9,0.03568672839506172,149,1600
0.7,0.0,1.0,49,5,0.4756944444444445,-0.003740293987575569,0.875,0.03671553497942386,143,1600
0.7,0.0,1.0,50,1,0.3993055555555555,-0.0006059303310030372,0.875,0.03276105967078189,183,1600
0.7,0.0,1.0,50,2,0.42361111111111116,-0.0011838907414494315,0.9,0.02964248971193416,172,1600
0.7,0.0,1.0,50,3,0.4895833333333333,-0.00040728219653829,0.825,0.057002314814814804,167,1600
0.7,0.0,1.0,50,4,0.43402777777777773,-0.0003003562564845197,0.9,0.03491512345679012,149,1600
0.7,0.0,1.0,50,5,0.4756944444444445,-0.003725756436761003,0.875,0.03835519547325102,143,1600
