capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,21,8,16,5,0.5034722222222222,-0.004161584027751814,0.875,0.03989840534979424,143,1600
0.7,0.0,1.0,22,3,6,1,0.3993055555555555,-0.0014921130216680467,0.9,0.029481738683127565,183,1600
0.7,0.0,1.0,22,3,6,2,0.42013888888888884,-0.000886524386878591,0.875,0.028581532921810694,172,1600
0.7,0.0,1.0,22,3,6,3,0.47222222222222227,0.0008227951109438436,0.8,0.05140817901234568,167,1600
0.7,0.0,1.0,22,3,6,4,0.42708333333333326,0.0009011480211484013,0.9,0.033757716049382706,149,1600
0.7,0.0,1.0,22,3,6,5,0.49652777777777773,-0.004324598464663722,0.9,0.03970550411522634,143,1600
0.7,0.0,1.0,23,6,10,1,0.4583333333333333,0.0013624689319112803,0.8,0.029222547459154594,183,1600
0.7,0.0,1.0,23,6,10,2,0.4807692307692308,-0.0038313842187199043,0.825,0.029502932583289728,172,1600
0.7,0.0,1.0,23,6,10,3,0.5512820512820513,0.0001939049895008793,0.725,0.05220057004283195,167,1600
0.7,0.0,1.0,23,6,10,4,0.47115384615384615,-0.00028084157362172845,0.875,0.02601149897280849,149,1600
0.7,0.0,1.0,23,6,10,5,0.5256410256410257,-0.0008739661185973091,0.8,0.03417145437234723,143,1600
0.7,0.0,1.0,24,6,12,1,0.42013888888888884,-0.004322555348917376,0.9,0.03497942386831275,183,1600
0.7,0.0,1.0,24,6,12,2,0.4166666666666667,-0.0016735921514919028,0.875,0.027713477366255148,172,1600
0.7,0.0,1.0,24,6,12,3,0.47222222222222215,-0.000605652210288099,0.85,0.045910493827160496,167,1600
0.7,0.0,1.0,24,6,12,4,0.3993055555555556,0.0012081514685269212,0.925,0.021412037037037035,149,1600
0.7,0.0,1.0,24,6,12,5,0.4826388888888889,-0.0015482548991712975,0.9,0.03796939300411523,143,1600
0.7,0.0,1.0,25,4,8,1,0.40972222222222215,0.0016751641836890486,0.85,0.03478652263374485,183,1600
0.7,0.0,1.0,25,4,8,2,0.42361111111111116,-0.0023910580186930017,0.875,0.027713477366255138,172,1600
0.7,0.0,1.0,25,4,8,3,0.5034722222222222,0.0008529221066419268,0.825,0.05941358024691357,167,1600
0.7,0.0,1.0,25,4,8,4,0.41666666666666674,0.0003162709427851951,0.925,0.025462962962962965,149,1600
0.7,0.0,1.0,25,4,8,5,0.4826388888888889,-0.003206434124222142,0.9,0.03536522633744856,143,1600
0.7,0.0,1.0,26,4,8,1,0.3993055555555555,0.00013776050094747915,0.9,0.03276105967078189,183,1600
0.7,0.0,1.0,26,4,8,2,0.42013888888888884,-0.00013498588232323526,0.85,0.03292181069958847,172,1600
0.7,0.0,1.0,26,4,8,3,0.5034722222222222,7.057981289108283e-05,0.75,0.056520061728395056,167,1600
0.7,0.0,1.0,26,4,8,4,0.43402777777777773,-0.002004870735690929,0.925,0.030381944444444444,149,1600
0.7,0.0,1.0,26,4,8,5,0.4756944444444444,-0.0017641077977168607,0.925,0.03459362139917696,143,1600
0.7,0.0,1.0,27,6,12,1,0.40277777777777785,0.00039477559344959447,0.9,0.03739068930041153,183,1600
0.7,0.0,1.0,27,6,12,2,0.40277777777777773,0.0005400554847437888,0.9,0.02549511316872427,172,1600
0.7,0.0,1.0,27,6,12,3,0.5069444444444444,0.0011380289452063153,0.85,0.057484567901234566,167,1600
0.7,0.0,1.0,27,6,12,4,0.4270833333333333,-0.0013702306566847255,0.95,0.030864197530864192,149,1600
0.7,0.0,1.0,27,6,12,5,0.47916666666666674,0.0006482535531540635,0.9,0.03816229423868312,143,1600
0.7,0.0,1.0,28,7,14,1,0.3958333333333333,0.0019885470144072313,0.9,0.03208590534979423,183,1600
0.7,0.0,1.0,28,7,14,2,0.40972222222222227,-0.0017009517920814688,0.9,0.0285815329218107,172,1600
0.7,0.0,1.0,28,7,14,3,0.5069444444444444,-0.0006511359932483174,0.825,0.05960648148148146,167,1600
0.7,0.0,1.0,28,7,14,4,0.41666666666666674,9.516410646028816e-05,0.925,0.02517361111111111,149,1600
0.7,0.0,1.0,28,7,14,5,0.4791666666666667,-0.00021959960169624538,0.875,0.03825874485596707,143,1600
0.7,0.0,1.0,29,6,12,1,0.3993055555555555,0.0010050743791362039,0.875,0.03179655349794238,183,1600
0.7,0.0,1.0,29,6,12,2,0.4305555555555556,4.1602773999329654e-05,0.875,0.030414094650205767,172,1600
0.7,0.0,1.0,29,6,12,3,0.49652777777777773,-6.350643569021486e-05,0.8,0.06597222222222222,167,1600
0.7,0.0,1.0,29,6,12,4,0.4375,-0.0008888682457472896,0.925,0.030767746913580248,149,1600
0.7,0.0,1.0,29,6,12,5,0.4826388888888889,0.0005750534316030098,0.875,0.03835519547325102,143,1600
0.7,0.0,1.0,30,4,8,1,0.4305555555555555,0.002635538367321715,0.875,0.039994855967078184,183,1600
0.7,0.0,1.0,30,4,8,2,0.3958333333333333,7.941282558022067e-05,0.875,0.023759002057613166,172,1600
0.7,0.0,1.0,30,4,8,3,0.45833333333333326,0.0016602524107292994,0.825,0.05005787037037037,167,1600
